,loc_inicio,loc_fim,multip_g,numero_passos,variacao_altura
133,"[5, 18]","[14, 12]",0.2,11.0,5.0
134,"[28, 28]","[10, 15]",0.2,24.0,-9.0
135,"[19, 4]","[2, 3]",0.2,19.0,-3.0
136,"[14, 5]","[6, 26]",0.2,29.0,13.0
137,"[17, 21]","[6, 6]",0.2,23.0,-12.0
138,"[15, 2]","[14, 15]",0.2,14.0,-9.0
139,"[28, 13]","[16, 5]",0.2,17.0,-5.0
140,"[28, 13]","[10, 7]",0.2,20.0,-13.0
141,"[26, 6]","[5, 0]",0.2,23.0,11.0
142,"[18, 24]","[26, 1]",0.2,28.0,-2.0
143,"[17, 3]","[1, 17]",0.2,25.0,9.0
144,"[21, 9]","[22, 16]",0.2,12.0,-12.0
145,"[15, 5]","[27, 1]",0.2,12.0,17.0
146,"[5, 28]","[6, 28]",0.2,1.0,3.0
147,"[6, 5]","[25, 18]",0.2,30.0,7.0
148,"[24, 14]","[19, 29]",0.2,16.0,2.0
149,"[22, 18]","[27, 20]",0.2,6.0,4.0
150,"[6, 10]","[8, 1]",0.3,10.0,-6.0
151,"[19, 15]","[8, 12]",0.3,16.0,-8.0
152,"[9, 10]","[10, 4]",0.3,8.0,-10.0
153,"[24, 18]","[24, 11]",0.3,7.0,3.0
154,"[28, 1]","[21, 20]",0.3,24.0,6.0
155,"[3, 19]","[2, 25]",0.3,6.0,-18.0
156,"[10, 24]","[3, 25]",0.3,10.0,0.0
157,"[16, 13]","[15, 27]",0.3,17.0,2.0
158,"[8, 1]","[1, 19]",0.3,27.0,-9.0
159,"[9, 28]","[20, 29]",0.3,18.0,-12.0
160,"[15, 22]","[4, 11]",0.3,22.0,-3.0
161,"[11, 21]","[26, 10]",0.3,19.0,-13.0
162,"[15, 0]","[10, 29]",0.3,44.0,-14.0
163,"[23, 9]","[26, 6]",0.3,3.0,-10.0
164,"[24, 9]","[23, 5]",0.3,8.0,3.0
165,"[27, 2]","[15, 16]",0.3,33.0,-16.0
166,"[9, 18]","[13, 27]",0.3,26.0,1.0
167,"[20, 26]","[1, 17]",0.3,29.0,0.0
168,"[29, 29]","[23, 12]",0.3,21.0,0.0
169,"[1, 9]","[11, 21]",0.3,21.0,11.0
170,"[2, 20]","[15, 3]",0.3,28.0,-6.0
171,"[10, 8]","[18, 0]",0.3,11.0,-4.0
172,"[27, 0]","[17, 19]",0.3,27.0,11.0
173,"[22, 29]","[2, 15]",0.3,27.0,-4.0
174,"[0, 10]","[10, 2]",0.3,16.0,14.0
175,"[1, 23]","[12, 25]",0.3,13.0,11.0
176,"[27, 14]","[12, 25]",0.3,27.0,2.0
177,"[22, 14]","[8, 27]",0.3,25.0,10.0
178,"[24, 28]","[6, 7]",0.3,40.0,7.0
179,"[18, 10]","[21, 1]",0.3,18.0,-13.0
180,"[7, 28]","[22, 22]",0.3,27.0,10.0
181,"[4, 1]","[12, 23]",0.3,28.0,11.0
182,"[29, 9]","[20, 11]",0.3,9.0,-2.0
183,"[5, 18]","[14, 12]",0.3,18.0,5.0
184,"[28, 28]","[10, 15]",0.3,27.0,-9.0
185,"[19, 4]","[2, 3]",0.3,34.0,-3.0
186,"[14, 5]","[6, 26]",0.3,31.0,13.0
187,"[17, 21]","[6, 6]",0.3,31.0,-12.0
188,"[15, 2]","[14, 15]",0.3,,
189,"[28, 13]","[16, 5]",0.3,21.0,-5.0
190,"[28, 13]","[10, 7]",0.3,24.0,-13.0
191,"[26, 6]","[5, 0]",0.3,27.0,11.0
192,"[18, 24]","[26, 1]",0.3,29.0,-2.0
193,"[17, 3]","[1, 17]",0.3,33.0,9.0
194,"[21, 9]","[22, 16]",0.3,33.0,-12.0
195,"[15, 5]","[27, 1]",0.3,17.0,17.0
196,"[5, 28]","[6, 28]",0.3,1.0,3.0
197,"[6, 5]","[25, 18]",0.3,54.0,7.0
198,"[24, 14]","[19, 29]",0.3,17.0,2.0
199,"[22, 18]","[27, 20]",0.3,6.0,4.0
200,"[6, 10]","[8, 1]",0.4,24.0,-6.0
201,"[19, 15]","[8, 12]",0.4,17.0,-8.0
202,"[9, 10]","[10, 4]",0.4,8.0,-10.0
203,"[24, 18]","[24, 11]",0.4,7.0,3.0
204,"[28, 1]","[21, 20]",0.4,29.0,6.0
205,"[3, 19]","[2, 25]",0.4,7.0,-18.0
206,"[10, 24]","[3, 25]",0.4,18.0,0.0
207,"[16, 13]","[15, 27]",0.4,17.0,2.0
208,"[8, 1]","[1, 19]",0.4,27.0,-9.0
209,"[9, 28]","[20, 29]",0.4,20.0,-12.0
